"","x"
"1","4930405D11Rik"
"2","4930578N18Rik"
"3","9030025P20Rik"
"4","A930005H10Rik"
"5","Abca5"
"6","Abcc10"
"7","Abhd1"
"8","AI506816"
"9","Ank2"
"10","BC018473"
"11","Bend6"
"12","Camk2b"
"13","Capza1-ps1"
"14","Cd1d2"
"15","Colec12"
"16","Coro2b"
"17","Efcab7"
"18","Elavl4"
"19","Epas1"
"20","Fah"
"21","Fkbp9"
"22","Fzd8"
"23","Gdf3"
"24","Glo1-ps"
"25","Gm10154"
"26","Gm10503"
"27","Gm11249"
"28","Gm11942"
"29","Gm12366"
"30","Gm15432"
"31","Gm16867"
"32","Gm18025"
"33","Gm26510"
"34","Gm26862"
"35","Gm27177"
"36","Gm30613"
"37","Gm34084"
"38","Gm3435"
"39","Gm35572"
"40","Gm37784"
"41","Gm42031"
"42","Gm42427"
"43","Gm42546"
"44","Gm46620"
"45","Gm49980"
"46","Gm50022"
"47","Gm5586"
"48","Gm5815"
"49","Gm5871"
"50","Gm6034"
"51","Gm6139"
"52","Gm6311"
"53","Gm6410"
"54","Gm6433"
"55","Gm6475"
"56","Gm6576"
"57","Gm6969"
"58","Gm7432"
"59","Gm7818"
"60","Grk5"
"61","H2-Bl"
"62","Hddc3"
"63","Hmga1b"
"64","Hyi"
"65","Lrmda"
"66","Map2"
"67","Mcub"
"68","Ndufs5-ps"
"69","Ngrn"
"70","Npy"
"71","Olfml3"
"72","Pcyox1"
"73","Pla2g12a"
"74","Prss41"
"75","Psmb4"
"76","Rnps1"
"77","Rpl34-ps1"
"78","Rpl34-ps2"
"79","Rps2-ps13"
"80","Rps2-ps8"
"81","Rps3a2"
"82","Rps3a3"
"83","Spr-ps1"
"84","St6galnac1"
"85","St6galnac2"
"86","Tceanc2"
"87","Tmem181b-ps"
"88","Ugt1a7c"
"89","Vis1"
"90","Wdfy1"
"91","Zfp213"
"92","Zfp467"
"93","Zfp943"
